Дата,Физические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Юридические лица | Длинные позиции | (позиции покупателя),Короткие позиции | (позиции продавца),"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Совокупный объем открытых позиций,ОИ физиков,IMOEX | Close,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2020-12-28,2818,11442,272,791,14819,6195,20,23,35274,14260,3249.41,0.2462856144030764,2.392090395480226,15.977773997845437,64.8749787378806
2020-12-29,2938,11297,276,787,14858,6499,19,22,35592,14235,3269.71,0.2600690448791715,2.2861978765963995,16.50932793886267,63.480557428635656
2020-12-30,2291,11998,232,835,15938,6231,21,26,36458,14289,3276.04,0.19094849141523587,2.557855881880918,12.567886334960775,65.81820176641615
2021-01-04,3271,11349,243,723,14750,6672,23,27,36042,14620,3306.12,0.28821922636355624,2.2107314148681056,18.151046001886687,62.976527384717826
2021-01-05,3238,11813,249,779,14179,5604,20,30,34834,15051,3327.94,0.274104799796834,2.5301570306923624,18.591031750588506,67.82453924326806
2021-01-06,3057,11217,265,749,13504,5344,22,27,33122,14274,3373.37,0.27253276277079436,2.5269461077844313,18.45903025179639,67.7314171849526
2021-01-08,3189,13763,206,891,15604,5030,24,29,37586,16952,3390.23,0.23170820315338225,3.1021868787276343,16.969084233491195,73.23471505347736
2021-01-11,3596,14257,234,1028,16015,5354,22,29,39222,17853,3455.67,0.25222697622220663,2.9912215166230856,18.33664779970425,72.69899546173066
2021-01-12,4898,13608,271,988,14461,5751,24,26,38718,18506,3494.6,0.35993533215755436,2.5145192140497303,25.300893641200474,70.29288702928869
2021-01-13,4956,13554,264,1045,14829,6231,22,28,39570,18510,3487.92,0.3656485170429394,2.3798748194511314,25.04927975739196,68.50644427596664
2021-01-14,3730,13914,248,1089,16386,6202,21,29,40232,17644,3461.83,0.26807531982176225,2.64205095130603,18.54245376814476,69.16882083913303
2021-01-15,4325,13244,268,1012,15000,6081,23,27,38650,17569,3486.02,0.3265629719118091,2.46669955599408,22.38033635187581,68.53298835705046
2021-01-18,3925,13997,240,1126,16214,6142,25,32,40278,17922,3440.56,0.28041723226405657,2.6398567241940736,19.489547643875067,69.501961368489
2021-01-19,4755,13348,300,1074,15148,6555,24,30,39806,18103,3484.46,0.35623314354210367,2.3109077040427155,23.890870723006582,67.06526654273225
2021-01-20,4140,13492,263,1098,16129,6777,27,33,40538,17632,3453.54,0.30684850281648385,2.3799616349417145,20.425279984212345,66.56470472149589
2021-01-21,4941,13986,304,1052,15713,6668,25,32,41308,18927,3481.74,0.3532818532818533,2.356478704259148,23.922726832574803,67.7156967173429
2021-01-22,4129,14313,273,1075,16690,6506,21,33,41638,18442,3404.36,0.2884790051002585,2.5653243160159853,19.832844997358183,68.74969979345789
2021-01-25,4294,14680,265,1068,17539,7153,22,35,43666,18974,3399.28,0.29250681198910083,2.4519781909688243,19.66747583932579,67.23766775065269
2021-01-26,3836,14191,296,1039,17819,7464,21,36,43310,18027,3384.99,0.27031216968501165,2.387325830653805,17.714153775109676,65.53220965135073
2021-01-27,4262,13688,345,1015,17281,7855,24,32,43086,17950,3398.38,0.3113676212741087,2.2,19.78368843707933,63.53804019867242
2021-01-28,3804,13968,377,1023,17077,6913,18,34,41762,17772,3319.16,0.27233676975945015,2.470273397945899,18.217518318088214,66.89334801973087
2021-01-29,5856,11334,482,900,12292,6814,24,30,36296,17190,3335.13,0.5166754896770778,1.8039330789550925,32.268018514436854,62.45316288296231
2021-02-01,3934,12221,387,984,15303,7016,28,28,38474,16155,3287.96,0.32190491776450375,2.181157354618016,20.45017414357748,63.52861672818007
2021-02-02,3579,12858,337,1051,16063,6784,25,30,39284,16437,3324.24,0.2783481101259916,2.3677771226415096,18.221158741472355,65.46176560431728
2021-02-03,3452,12454,370,1003,15261,6259,26,29,37426,15906,3351.99,0.2771800224827365,2.438248921552964,18.447068882594987,66.55266392347566
2021-02-04,3314,11987,354,1048,14624,5951,26,31,35876,15301,3356.23,0.27646617168599313,2.4574021172912115,18.474746348533838,66.82461812911139
2021-02-05,3364,11241,395,1008,13578,5701,27,31,33884,14605,3396.97,0.29926163152744417,2.3816874232590775,19.855979223232204,66.34989965765553
2021-02-08,3401,10623,385,861,12885,5663,28,29,32572,14024,3412.97,0.3201543820013179,2.2752957796221085,20.882966965491832,65.22780302099963
2021-02-09,3786,10219,382,888,12040,5607,31,28,31652,14005,3461.15,0.3704863489578237,2.1473158551810236,23.92265891570833,64.5709591810944
2021-02-10,3925,9755,375,850,11314,5484,29,29,30478,13680,3437.76,0.40235776524859046,2.0630926331145147,25.756283220683773,64.01338670516438
2021-02-11,3569,10378,348,940,12202,5393,31,26,31542,13947,3405.33,0.3439005588745423,2.262562581123679,22.6301439350707,65.804324392873
2021-02-12,3813,14380,328,1099,15817,5250,27,29,39260,18193,3403.07,0.26515994436717666,3.0127619047619048,19.42435048395313,73.25522159959246
2021-02-15,3093,10710,329,870,12705,5088,31,25,31596,13803,3461.94,0.2887955182072829,2.4970518867924527,19.578427649069504,67.79339156855299
2021-02-16,3327,10699,332,883,12636,5264,31,24,31926,14026,3502.04,0.3109636414618189,2.400455927051672,20.84194700244315,67.02374240430997
2021-02-17,3600,9606,343,884,11359,5353,24,24,29918,13206,3491.81,0.3747657713928795,2.1219876704651597,24.065779798114846,64.21552242796979
2021-02-18,3903,9850,335,906,12290,6343,30,26,32386,13753,3451.69,0.39624365482233503,1.937568973671764,24.103007472364602,60.82875316494781
2021-02-19,3784,13815,347,1268,15840,5809,31,27,39248,17599,3398.4,0.27390517553384003,2.7268032363573766,19.282511210762333,70.39849164288626
2021-02-22,3624,12653,349,1257,15348,6319,33,28,37944,16277,3447.57,0.2864142891013989,2.428865326792214,19.101834282099937,66.69302129453932
2021-02-24,4075,11788,418,1230,12438,4725,30,25,33026,15863,3426.07,0.3456905327451646,2.6323809523809523,24.67752679706898,71.38618058499364
2021-02-25,3762,12001,368,1311,13830,5591,29,28,35184,15763,3412.16,0.31347387717690195,2.473618315149347,21.384720327421554,68.21850841291496
2021-02-26,4207,11139,409,1235,12335,5403,27,31,33084,15346,3354.45,0.37768201813448243,2.2829909309642793,25.432233103615044,67.33768589046065
2021-03-01,4048,11876,420,1015,12633,4805,35,26,33362,15924,3369.68,0.3408555069046817,2.629136316337149,24.26713026796955,71.19477249565374
2021-03-02,4194,12755,397,984,13094,4533,35,24,34576,16949,3380.35,0.32881223049784397,2.8885947496139424,24.259602036094403,73.77950023137436
2021-03-03,4255,11852,423,932,12189,4592,28,27,32888,16107,3432.88,0.359011137360783,2.654398954703833,25.875699343225495,72.07492094380929
2021-03-04,4648,11900,395,919,11737,4485,34,21,32770,16548,3403.01,0.3905882352941176,2.6169453734671126,28.367409215746108,72.62740311260299
2021-03-05,3883,11789,389,942,12462,4556,33,22,32690,15672,3378.68,0.32937484095343117,2.735294117647059,23.75650045885592,72.1260324258183
2021-03-09,3508,10166,411,818,11404,4746,35,22,29824,13674,3426.48,0.345071807987409,2.402865571007164,23.52467811158798,68.17328326180258
2021-03-10,3660,10260,405,795,11543,4943,31,23,30406,13920,3476.91,0.3567251461988304,2.3352215253894397,24.07419588239163,67.48668026047491
2021-03-11,3693,10220,408,819,11141,4614,26,25,29668,13913,3481.26,0.3613502935420744,2.4146077156480277,24.895510314143184,68.89577996494539
2021-03-12,4145,10659,388,852,11888,5374,25,30,32066,14804,3515.44,0.38887325265034245,2.212132489765538,25.852928335308427,66.48163163475333
2021-03-15,3627,11806,327,865,13248,5069,30,26,33750,15433,3562.69,0.3072166694900898,2.6135332412704675,21.493333333333332,69.96148148148148
2021-03-16,3399,10760,341,795,13322,5961,27,27,33442,14159,3600.68,0.3158921933085502,2.2348599228317396,20.327731595000298,64.35021828837988
2021-03-17,4409,8867,407,612,10685,6227,25,28,30188,13276,3579.06,0.49723694597947443,1.7159145656014132,29.210282231350206,58.74519676692726
2021-03-18,4445,6941,355,514,8156,5660,18,24,25202,11386,3533.69,0.6403976372280651,1.4409893992932863,35.27497817633521,55.082929926196336
2021-03-19,4686,10091,326,755,10898,5493,19,29,31168,14777,3473.84,0.46437419482707365,1.9839796104132532,30.069301848049278,64.75231006160165
2021-03-22,4491,10098,365,763,10735,5128,20,29,30452,14589,3479.06,0.4447415329768271,2.093408736349454,29.495599632208062,66.32076710889268
2021-03-23,4554,10428,352,809,10453,4579,20,33,30014,14982,3481.11,0.43670886075949367,2.28281284123171,30.345838608649295,69.48757246618244
2021-03-24,5008,10789,364,832,10578,4797,23,29,31172,15797,3459.99,0.4641764760404115,2.2051282051282053,32.13139997433594,69.22237905812909
2021-03-25,5129,10124,382,770,10095,5100,23,26,30448,15253,3477.87,0.5066179375740814,1.9794117647058824,33.69022595901209,66.50026274303731
2021-03-26,4616,10552,341,825,11475,5539,23,27,32182,15168,3476.01,0.43745261561789234,2.0716735872901246,28.68684357715493,65.57703063824498
2021-03-29,4475,10940,404,820,11916,5451,26,27,32782,15415,3500.41,0.40904936014625226,2.186020913593836,27.301567933622113,66.74394484778232
2021-03-30,4474,11291,365,808,11620,4803,24,26,32188,15765,3535.72,0.39624479674076696,2.419321257547366,27.79917981856593,70.15658009195974
2021-03-31,5486,11695,427,825,11840,5631,21,27,34652,17181,3525.56,0.4690893544249679,2.102646066418043,31.66339605217592,67.49971141636847
2021-04-01,4943,10689,443,793,10394,4648,24,24,30674,15632,3556.28,0.46243802039479837,2.2362306368330467,32.22924952728695,69.69420356001825
2021-04-02,5101,11293,416,845,10576,4384,24,21,31354,16394,3553.89,0.4516957407243425,2.4124087591240877,32.5381131594055,72.03546596925432
2021-04-05,5419,9903,474,754,9788,5304,25,24,30414,15322,3555.24,0.547207916792891,1.845399698340875,35.63490497797067,65.12132570526731
2021-04-06,5487,10669,452,775,10412,5230,28,24,31798,16156,3536.26,0.5142937482425719,1.9908221797323136,34.51160450342789,67.10484936159506
2021-04-07,5429,11259,444,822,11757,5927,25,29,34372,16688,3484.22,0.482192024158451,1.9836342162982958,31.589666007215172,65.51262655649947
2021-04-08,5437,11246,416,801,11889,6080,31,31,34652,16683,3513.21,0.4834607860572648,1.9554276315789474,31.38058409327023,64.90823040517142
2021-04-09,5605,10696,426,799,10774,5683,31,29,32758,16301,3510.2,0.5240276738967838,1.8958296674291748,34.22064839123268,65.30313205934428
2021-04-12,4720,12058,385,884,11659,4321,21,31,32758,16778,3476.51,0.3914413667274838,2.698218005091414,28.81738811893278,73.61865803773125
2021-04-13,5020,12150,422,820,10474,3344,23,30,30988,17170,3533.3,0.41316872427983536,3.132177033492823,32.39963856976894,78.41745191687104
2021-04-14,5957,12593,477,874,10700,4064,32,29,33314,18550,3567.53,0.47304057809894384,2.6328740157480315,35.76274239058654,75.60184907246203
