date,close,open,high,low,value,capitalization,divisor
2001-11-13,216.39,209.7,216.39,216.39,0.0,6275159765419.83,3254811524.0
2001-11-14,220.87,216.39,220.87,220.87,0.0,6275159765419.83,3254811524.0
2001-11-15,205.93,220.87,205.93,205.93,0.0,6275159765419.83,3254811524.0
2001-11-16,201.58,205.93,201.58,201.58,0.0,6275159765419.83,3254811524.0
2001-11-19,206.05,201.58,206.05,206.05,0.0,6275159765419.83,3254811524.0
2001-11-20,210.53,206.05,210.53,210.53,0.0,6275159765419.83,3254811524.0
2001-11-21,207.96,210.53,207.96,207.96,0.0,6275159765419.83,3254811524.0
2001-11-22,213.49,207.96,213.49,213.49,0.0,6275159765419.83,3254811524.0
2001-11-23,213.82,213.49,213.82,213.82,0.0,6275159765419.83,3254811524.0
2001-11-26,216.39,213.82,216.39,216.39,0.0,6275159765419.83,3254811524.0
2001-11-27,217.13,216.39,217.13,217.13,0.0,6275159765419.83,3254811524.0
2001-11-28,214.7,217.13,214.7,214.7,0.0,6275159765419.83,3254811524.0
2001-11-29,209.03,214.7,209.03,209.03,0.0,6275159765419.83,3254811524.0
2001-11-30,213.32,209.03,213.32,213.32,0.0,6275159765419.83,3254811524.0
2001-12-03,212.41,213.32,212.41,212.41,0.0,6275159765419.83,3254811524.0
2001-12-04,218.76,212.41,218.76,218.76,0.0,6275159765419.83,3254811524.0
2001-12-05,221.41,218.76,221.41,221.41,0.0,6275159765419.83,3254811524.0
2001-12-06,225.32,221.41,225.32,225.32,0.0,6275159765419.83,3254811524.0
2001-12-07,222.41,225.32,222.41,222.41,0.0,6275159765419.83,3254811524.0
2001-12-10,226.3,222.41,226.3,226.3,0.0,6275159765419.83,3254811524.0
2001-12-11,227.83,226.3,227.83,227.83,0.0,6275159765419.83,3254811524.0
2001-12-13,221.88,227.83,221.88,221.88,0.0,6275159765419.83,3254811524.0
2001-12-14,215.03,221.88,215.03,215.03,0.0,6275159765419.83,3254811524.0
2001-12-17,220.51,215.03,220.51,220.51,0.0,6275159765419.83,3254811524.0
2001-12-18,222.57,220.51,222.57,222.57,0.0,6275159765419.83,3254811524.0
2001-12-19,225.85,222.57,225.85,225.85,0.0,6275159765419.83,3254811524.0
2001-12-20,229.84,225.85,229.84,229.84,0.0,6275159765419.83,3254811524.0
2001-12-21,228.05,229.84,228.05,228.05,0.0,6275159765419.83,3254811524.0
2001-12-24,234.33,228.05,234.33,234.33,0.0,6275159765419.83,3254811524.0
2001-12-25,231.63,234.33,231.63,231.63,0.0,6275159765419.83,3254811524.0
2001-12-26,230.66,231.63,230.66,230.66,0.0,6275159765419.83,3254811524.0
2001-12-27,233.35,230.66,233.35,233.35,0.0,6275159765419.83,3254811524.0
2001-12-28,236.24,233.35,236.24,236.24,0.0,6275159765419.83,3254811524.0
2001-12-29,237.63,236.24,237.63,237.63,0.0,6275159765419.83,3254811524.0
2002-01-03,246.79,237.63,246.79,246.79,0.0,6275159765419.83,3254811524.0
2002-01-04,256.98,246.79,256.98,256.98,0.0,6275159765419.83,3254811524.0
2002-01-08,268.01,256.98,268.01,268.01,0.0,6275159765419.83,3254811524.0
2002-01-09,268.3,268.01,268.3,268.3,0.0,6275159765419.83,3254811524.0
2002-01-10,265.38,268.3,265.38,265.38,0.0,6275159765419.83,3254811524.0
2002-01-11,265.33,265.38,265.33,265.33,0.0,6275159765419.83,3254811524.0
2002-01-14,258.19,265.33,258.19,258.19,0.0,6275159765419.83,3254811524.0
