Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Физические лица,,,,Юридические лица,,,,Совокупный объем открытых позиций,,,,,,,
,Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",Длинные позиции,Короткие позиции,"Количество лиц, имеющих открытые длинные позиции","Количество лиц, имеющих открытые короткие позиции",,,,,,,,
Дата,(позиции покупателя),(позиции продавца),,,(позиции покупателя),(позиции продавца),,,,,Close,,Lons/Short физ.,Lons/Short юр.,% Long у физ.от общ.Long,% Short у физ.от общ.Sort
2022-06-22 00:00:00,213524,70874,4631,1826,51648,194298,40,35,530344,,133.11,,3.0127268109602956,0.2658184850075657,80.52283046475495,26.727557962379134
2022-06-23 00:00:00,205951,84493,4602,2260,51785,173243,39,34,515472,,136.85,,2.4374918632312736,0.2989153962930681,79.90773504671446,32.78276996616693
2022-06-24 00:00:00,187659,82964,4624,2140,46264,150959,37,32,467846,,137.76,,2.261932886553204,0.3064673189409045,80.2225518653574,35.46637141281533
2022-06-27 00:00:00,207062,84357,5117,2192,46118,168823,42,34,506360,,141.15,,2.4545917943976194,0.27317367894185035,81.78450114543013,33.31898254206494
2022-06-28 00:00:00,174178,74405,5067,2328,44144,143917,32,38,436644,,139.99,,2.3409448289765473,0.3067323526755005,79.78032447485823,34.080395012870895
2022-06-29 00:00:00,136609,68838,4432,1922,45846,113617,33,22,364910,,132.8,,1.9844998402045382,0.40351355871040423,74.8727083390425,37.728755035488206
2022-06-30 00:00:00,99764,66674,3413,1614,49968,83058,32,15,299464,,125.2,,1.4962954075051744,0.6016036986202413,66.62837603184356,44.52889161969386
2022-07-01 00:00:00,116643,54332,3438,1584,52387,114698,33,32,338060,,129.91,,2.1468563645733636,0.4567385656245096,69.0072768147666,32.14340649588831
2022-07-04 00:00:00,103058,57732,3524,1684,46356,91682,29,30,298828,,131.43,,1.7851105106353495,0.5056172422067582,68.97479486527367,38.63894949603116
2022-07-05 00:00:00,113776,57249,3454,1717,47398,103925,39,25,322348,,133.5,,1.9873884259987074,0.4560789030550878,70.59203097273755,35.51999702185216
2022-07-06 00:00:00,110717,60522,3515,1934,50456,100651,36,28,322346,,134,,1.829367833184627,0.501296559398317,68.69450838539954,37.55095456435011
2022-07-07 00:00:00,102992,63339,3412,2027,53393,93046,31,31,312770,,133.09,,1.6260439855381361,0.5738344474775917,65.85797870639767,40.501966301115836
2022-07-08 00:00:00,107918,59970,3397,1891,49490,97438,33,32,314816,,133.3,,1.799533099883275,0.5079127239885877,68.55941248221184,38.09844480585485
2022-07-11 00:00:00,109352,79931,3602,1866,63312,92733,33,26,345328,,126.8,,1.3680799689732395,0.6827343017048947,63.332252235555764,46.29279988880137
2022-07-12 00:00:00,134396,54944,3988,1672,50304,129756,35,32,369400,,129,,2.4460541642399534,0.3876814944973643,72.76448294531673,29.74769897130482
2022-07-13 00:00:00,114326,61269,3906,1795,52590,105647,39,30,333832,,126,,1.865968107852258,0.49778980945980483,68.49313427113039,36.70648709530543
2022-07-14 00:00:00,119146,57384,3815,1752,51979,113741,36,34,342250,,125.9,,2.0762930433570332,0.45699439955688803,69.62512783053324,33.53338203067933
2022-07-15 00:00:00,152858,51418,4049,1508,58584,160024,36,37,422884,,128.9,,2.972849974717025,0.36609508573713945,72.29311111321309,24.317779816687317
2022-07-18 00:00:00,129089,57351,4022,1747,55121,126859,42,33,368420,,128.11,,2.2508587470140013,0.43450602637574,70.07708593453124,31.133488952825576
2022-07-19 00:00:00,124251,59600,3828,1768,55105,119756,36,40,358712,,127.76,,2.084748322147651,0.460143959384081,69.27618813978901,33.230000669060416
