date,asset,type,total_oi,fiz_oi,yur_oi,fiz_share,yur_share,long_fiz,short_fiz,long_jur,short_jur,Open,High,Low,Close,Volume,contract
2019-02-27,ALRS,futures,14370.0,,,,,,,,,,,,,,
2019-02-27,GAZR,futures,321778.0,,,,,,,,,,,,,,
2019-02-27,LKOH,futures,37412.0,,,,,,,,,,,,,,
2019-02-27,MGNT,futures,186922.0,,,,,,,,,,,,,,
2019-02-27,MXI,futures,40750.0,,,,,,,,,,,,,,
2019-02-27,ROSN,futures,37464.0,,,,,,,,,,,,,,
2019-02-27,SBRF,futures,733394.0,,,,,,,,,,,,,,
2019-02-27,VTBR,futures,295516.0,,,,,,,,,,,,,,
2019-02-28,ALRS,futures,14884.0,,,,,,,,,,,,,,
2019-02-28,GAZR,futures,320224.0,,,,,,,,,,,,,,
2019-02-28,LKOH,futures,37044.0,,,,,,,,,,,,,,
2019-02-28,MGNT,futures,189220.0,,,,,,,,,,,,,,
2019-02-28,MXI,futures,42120.0,,,,,,,,,,,,,,
2019-02-28,ROSN,futures,37272.0,,,,,,,,,,,,,,
2019-02-28,SBRF,futures,762172.0,,,,,,,,,,,,,,
2019-02-28,VTBR,futures,298424.0,,,,,,,,,,,,,,
2019-03-01,ALRS,futures,15144.0,,,,,,,,,,,,,,
2019-03-01,GAZR,futures,327482.0,,,,,,,,,,,,,,
2019-03-01,LKOH,futures,35896.0,,,,,,,,,,,,,,
2019-03-01,MGNT,futures,188984.0,,,,,,,,,,,,,,
2019-03-01,MXI,futures,42678.0,,,,,,,,,,,,,,
2019-03-01,ROSN,futures,36792.0,,,,,,,,,,,,,,
2019-03-01,SBRF,futures,731174.0,,,,,,,,,,,,,,
2019-03-01,VTBR,futures,293852.0,,,,,,,,,,,,,,
2019-03-04,ALRS,futures,15854.0,,,,,,,,,,,,,,
2019-03-04,GAZR,futures,333702.0,,,,,,,,,,,,,,
2019-03-04,LKOH,futures,35918.0,,,,,,,,,,,,,,
2019-03-04,MGNT,futures,190074.0,,,,,,,,,,,,,,
2019-03-04,MXI,futures,37290.0,,,,,,,,,,,,,,
